iter	Logloss
0	0.6925577688
1	0.692012298
2	0.6915932877
3	0.6911049823
4	0.6901978716
5	0.6894210015
6	0.6888079405
7	0.6880228683
8	0.6874735015
9	0.6868577808
10	0.6864034569
11	0.6858692512
12	0.6854226123
13	0.684544979
14	0.6842677065
15	0.6838783292
16	0.6831590657
17	0.6826275208
18	0.6819532885
19	0.6816858941
20	0.6812511395
21	0.6808122532
22	0.6803161011
23	0.6798357528
24	0.6794139305
25	0.6789563724
26	0.678403155
27	0.6775125143
28	0.6770636996
29	0.6767143245
30	0.6763435774
31	0.675808693
32	0.6754220052
33	0.6749449229
34	0.6742958767
35	0.6739592739
36	0.673506782
37	0.6730048045
38	0.672480993
39	0.672077467
40	0.6715007762
41	0.6707764091
42	0.6702865739
43	0.6698949045
44	0.6694357818
45	0.669190923
46	0.6687338083
47	0.6681654029
48	0.6675569503
49	0.6671763649
50	0.6665730695
51	0.6661129013
52	0.665646802
53	0.6649804833
54	0.664510933
55	0.6638760068
56	0.6634439278
57	0.6627538019
58	0.6620602576
59	0.6614962663
60	0.6612060664
61	0.6607606714
62	0.6602306135
63	0.6596495185
64	0.6591250152
65	0.6586750764
66	0.6579569217
67	0.6576445118
68	0.6567352368
69	0.6560352308
70	0.6551949718
71	0.6546698729
72	0.6540862192
73	0.6535147375
74	0.6529243166
75	0.6525426274
76	0.6518213836
77	0.6511523497
78	0.6506833269
79	0.6502835807
80	0.6497265112
81	0.6492377007
82	0.6486067825
83	0.6483084995
84	0.6478862724
85	0.6475393844
86	0.6468455444
87	0.6463068728
88	0.6457094292
89	0.6451097041
90	0.6447965677
91	0.6441463835
92	0.6436087539
93	0.64322719
94	0.6428837235
95	0.6423011595
96	0.6418283895
97	0.6414226902
98	0.6406867678
99	0.6402974816
100	0.6398578677
101	0.6393482408
102	0.6389417055
103	0.6386153327
104	0.6380451713
105	0.6376026177
106	0.637177735
107	0.6368460346
108	0.6362746869
109	0.6358281431
110	0.6352422757
111	0.6348202751
112	0.6343480541
113	0.6336088939
114	0.6334660905
115	0.6331636383
116	0.6326475533
117	0.6319927001
118	0.6315326517
119	0.6309469157
120	0.6301589097
121	0.6296112915
122	0.6292045465
123	0.6287790663
124	0.6283305904
125	0.6279171242
126	0.6274714278
127	0.627012134
128	0.6264297523
129	0.6261209158
130	0.6257156716
131	0.6255484148
132	0.6252980462
133	0.6248487564
134	0.6243229061
135	0.6238688231
136	0.6234434532
137	0.6228453568
138	0.6225810869
139	0.6223238243
140	0.6218604003
141	0.6213165385
142	0.6209246277
143	0.6204001726
144	0.6200569483
145	0.6194133221
146	0.6188803841
147	0.61858875
148	0.6181903923
149	0.6178213848
150	0.6174913984
151	0.6171781841
152	0.6167506038
153	0.6160944789
154	0.6156479808
155	0.6151273576
156	0.6146484508
157	0.614359675
158	0.6140559663
159	0.6135118854
160	0.61319261
161	0.6127169542
162	0.6122136454
163	0.6117686162
164	0.6112173685
165	0.6107090493
